d_t_1                                             d_t_2                                             d_beam_w                                          d_max                                             Frequency (Hz)                                    Quality factor                                    abs(solid.Qted) (W)
2                                                 2                                                 2                                                 19999.999999999844                                147011.17422473567+4.083612473251516i             18000.137768665394                                2.9759125612956167E-15
2                                                 2                                                 2                                                 19999.999999999844                                294051.49973649+8.168423303060232i                17999.281429644063                                1.574542815783337E-14
2                                                 2                                                 2                                                 19999.999999999844                                441153.9869320515+12.253045557488813i             18001.809626114624                                4.405870625117085E-14
2                                                 2                                                 2                                                 19999.999999999844                                588349.4619505544+15.208032034388593i             19343.379229480943                                9.443026573562513E-14
2                                                 2                                                 2                                                 14999.999999999836                                146464.86128810566+4.0684140138273115i            18000.240485643488                                2.864144041857068E-15
2                                                 2                                                 2                                                 14999.999999999836                                292959.02531585447+8.137405438210868i             18000.76372870681                                 1.5351218210171882E-14
2                                                 2                                                 2                                                 14999.999999999836                                439510.2417943604+12.209680707935606i             17998.433059298306                                4.325228645148543E-14
2                                                 2                                                 2                                                 14999.999999999836                                586153.0672062319+15.755486689894008i             18601.553818778637                                9.240228907562339E-14
2                                                 2                                                 2                                                 10000.0000000003                                  145970.9805511902+4.0546828466651235i             18000.295716255434                                2.646598423158127E-15
2                                                 2                                                 2                                                 10000.0000000003                                  291968.7199593989+8.110216421989465i              18000.05725912417                                 1.4526670921401707E-14
2                                                 2                                                 2                                                 10000.0000000003                                  438021.5880509313+12.167168307676153i             18000.145020374934                                4.1540044549759156E-14
2                                                 2                                                 2                                                 10000.0000000003                                  584157.2673342888+15.518705682148525i             18821.069208311885                                8.966941989728174E-14
2                                                 2                                                 3.0000000000000253                                20000.000000000175                                146941.08297873975+4.081698915458249i             17999.99044787981                                 2.8454179326914277E-15
2                                                 2                                                 3.0000000000000253                                20000.000000000175                                293911.7745551041+8.164185921603691i              18000.06622689549                                 1.517327114833696E-14
2                                                 2                                                 3.0000000000000253                                20000.000000000175                                440944.34597443964+12.248527488471826i            17999.89208455682                                 4.267977333649429E-14
2                                                 2                                                 3.0000000000000253                                20000.000000000175                                588070.7469988922+16.327606755307542i             18008.479620190894                                9.173304168335434E-14
2                                                 2                                                 3.0000000000000115                                15000.00000000017                                 146394.72106065194+4.066454535727173i             18000.289905426474                                2.7405691971475393E-15
2                                                 2                                                 3.0000000000000115                                15000.00000000017                                 292819.0672986285+8.13371384532636i               18000.33003785153                                 1.4783693967192473E-14
2                                                 2                                                 3.0000000000000115                                15000.00000000017                                 439300.2599938339+12.202775883458433i             18000.01344732231                                 4.1843883307528276E-14
2                                                 2                                                 3.0000000000000115                                15000.00000000017                                 585868.0864908488+16.267181953432736i             18007.669926111696                                9.00385471436909E-14
2                                                 2                                                 3.000000000000132                                 10000.00000000036                                 145902.44016020265+4.052728512550223i             18000.51986067957                                 2.537775326143007E-15
2                                                 2                                                 3.000000000000132                                 10000.00000000036                                 291829.2051008098+8.10628039919637i               18000.19187158607                                 1.401031535866359E-14
2                                                 2                                                 3.000000000000132                                 10000.00000000036                                 437811.8213215058+12.16170681694537i              17999.604328214482                                4.0208746018158743E-14
2                                                 2                                                 3.000000000000132                                 10000.00000000036                                 583876.674031913+16.371074700621435i              17832.57008807697                                 8.705233753695106E-14
2                                                 2                                                 5.000000000000008                                 19999.999999999836                                146888.18948644973+4.080388598890484i             17999.289274358704                                2.8280263247242405E-15
2                                                 2                                                 5.000000000000008                                 19999.999999999836                                293810.6498095059+8.161504643282791i              17999.784515917912                                1.5133790179899212E-14
2                                                 2                                                 5.000000000000008                                 19999.999999999836                                440793.94965242414+12.244349083376454i            17999.89312011966                                 4.2693799665641333E-14
2                                                 2                                                 5.000000000000008                                 19999.999999999836                                587870.7608968895+16.183196722839696i             18162.99866352197                                 9.198553173434034E-14
2                                                 2                                                 4.999999999999916                                 14999.999999999616                                146344.3367978293+4.0650587480470906i             18000.273288563167                                2.722542582242144E-15
2                                                 2                                                 4.999999999999916                                 14999.999999999616                                292719.0120828216+8.13128542500873i               17999.553378271874                                1.4750749123890284E-14
2                                                 2                                                 4.999999999999916                                 14999.999999999616                                439150.63190921687+12.196718222114967i            18002.81944338787                                 4.1864409336062185E-14
2                                                 2                                                 4.999999999999916                                 14999.999999999616                                585675.5020213521+16.05009573697137i              18245.233910731757                                6.022298886423466E-14
2                                                 2                                                 5.000000000000073                                 10000.000000000135                                145850.7191887271+4.051418565669289i              17999.956907022115                                2.5195226848383504E-15
2                                                 2                                                 5.000000000000073                                 10000.000000000135                                291728.69678897463+8.103575322280504i             17999.99908601385                                 1.397516377734451E-14
2                                                 2                                                 5.000000000000073                                 10000.000000000135                                437661.7759386744+12.157415718045522i             17999.786553694015                                4.021539870257871E-14
