% Model:              3_full.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 11 2023, 13:59
% Table:              Eigenfrequencies (Long wire) - 
% d_t_1                                           d_t_2                                             d_beam_w                                          Frequency (Hz)                                    Quality factor for eigenvalue (1)                 abs(solid.Qted) (W)
1                                                 3.0000000000000275                                5.0000000000000755                                146893.3506146738+4.080430168954004i              17999.73832812086                                 2.8308132430058497E-15
1                                                 3.0000000000000275                                5.0000000000000755                                293819.8129268685+8.161680907681799i              17999.957132011892                                1.514279407952985E-14
1                                                 3.0000000000000275                                5.0000000000000755                                440807.1331430919+12.24437733913582i              18000.389931391863                                4.271749235910663E-14
1                                                 3.0000000000000275                                5.0000000000000755                                587886.516550144+18.57203549523802i               15827.196666216263                                8.665921971085024E-14
1                                                 3.0000000000000875                                7.000000000000226                                 146875.54347841803+4.079793628304438i             18000.364339441363                                2.822864363383152E-15
1                                                 3.0000000000000875                                7.000000000000226                                 293778.543249653+8.1603779119036i                 18000.30258532015                                 1.5116012559893164E-14
1                                                 3.0000000000000875                                7.000000000000226                                 440743.930069027+12.243281491886568i              17999.41994150475                                 4.268719032394391E-14
1                                                 3.0000000000000875                                7.000000000000226                                 587803.3444501502+16.38532371155204i              17936.885312670132                                8.01036593171538E-14
1                                                 3.000000000000107                                 9.000000000000153                                 146872.02014126454+4.079265164749243i             18002.26440419494                                 2.818759482182261E-15
1                                                 3.000000000000107                                 9.000000000000153                                 293760.617641041+8.159877686761341i               18000.307658878937                                1.5099876215673767E-14
1                                                 3.000000000000107                                 9.000000000000153                                 440714.66457892454+12.2403705906682i              18002.5049615289                                  4.266401860071469E-14
1                                                 3.000000000000107                                 9.000000000000153                                 587764.7314393108+15.127229725538031i             19427.37507473219                                 8.112901783276246E-14
1                                                 5.0000000000000275                                5.0000000000000275                                146890.006648569+4.080428633563947i               17999.33534436999                                 2.829826052885977E-15
1                                                 5.0000000000000275                                5.0000000000000275                                293811.7652318327+8.16151149557407i               17999.83773784779                                 1.5138395503728015E-14
1                                                 5.0000000000000275                                5.0000000000000275                                440795.0723213642+12.243888136404298i             18000.61661012599                                 4.270698531001696E-14
1                                                 5.0000000000000275                                5.0000000000000275                                587871.9836202326+16.372770514251936i             17952.733873247318                                8.560850132070292E-14
1                                                 4.999999999999969                                 7.000000000000079                                 146868.4869987732+4.079937679816626i              17998.86401762119                                 2.8216146286307375E-15
1                                                 4.999999999999969                                 7.000000000000079                                 293768.75055827596+8.160074911764305i             18000.370936224506                                1.5110870033604445E-14
1                                                 4.999999999999969                                 7.000000000000079                                 440730.96617422474+12.243360469610103i            17998.774407899004                                4.26753704099671E-14
1                                                 4.999999999999969                                 7.000000000000079                                 587787.4259353594+16.521635138393158i             17788.415644449065                                7.796997929286498E-14
1                                                 4.999999999999859                                 8.999999999999988                                 146857.54641786552+4.079360466956736i             18000.069815774645                                2.8171736373935347E-15
1                                                 4.999999999999859                                 8.999999999999988                                 293746.7574224955+8.159679043362058i              17999.89655606896                                 1.5093483518778502E-14
1                                                 4.999999999999859                                 8.999999999999988                                 440697.3010537342+12.241538240912197i             18000.078600452245                                4.265326590685726E-14
1                                                 4.999999999999859                                 8.999999999999988                                 587741.2913697+16.330102298075257i                17995.640218340017                                7.672280259552232E-14
1                                                 7.000000000000109                                 5.000000000000139                                 146894.70062485835+4.080247608156983i             18000.70911520012                                 2.829635192476822E-15
1                                                 7.000000000000109                                 5.000000000000139                                 293811.05842481874+8.162399980071969i             17997.835142981487                                1.5137278217544115E-14
1                                                 7.000000000000109                                 5.000000000000139                                 440791.3108166016+12.239029903473979i             18007.608212947787                                4.270444342305974E-14
1                                                 7.000000000000109                                 5.000000000000139                                 587865.6673068234+16.253368833304634i             18084.42524549961                                 8.71731882871352E-14
1                                                 7.000000000000064                                 7.000000000000064                                 146867.36000458486+4.079675815035573i             17999.881199299547                                2.82121503326E-15
1                                                 7.000000000000064                                 7.000000000000064                                 293766.2409785324+8.160357263125759i              17999.59435023659                                 1.5109331153049465E-14
1                                                 7.000000000000064                                 7.000000000000064                                 440725.91379802336+12.252672874529841i            17984.888616188626                                4.267589510716725E-14
1                                                 7.000000000000064                                 7.000000000000064                                 587782.4720269289+28.20778984691497i              10418.796992194033                                7.784768708954823E-14
